Masimo_India_M,Masimo_India_F,Masimo_SL_M,Masimo_SL_F,BKF_India_M,BKF_India_F,BKF_SL_M,BKF_SL_F,Sph_India_M,Sph_India_F,Sph_SL_M,Sph_SL_F,DP_India_M,DP_India_F,DP_SL_M,DP_SL_F,Chrom_India_M,Chrom_India_F,Chrom_SL_M,Chrom_SL_F,POS_India_M,POS_India_F,POS_SL_M,POS_SL_F
75.75,83.81,83.14,79.04,77.09,87.24,77.79,73.38,70.86,60.06,67.19,54.65,72,111,114,78,68.88,98.12,111,96.88,55.75,85.25,52.5,75.38
78.44,71.48,77.76,84.97,80.52,70.92,82.74,78.09,67.41,51.87,61.08,69.74,96,72,85.5,100.5,95.88,65.25,85.88,89.5,96,84.5,83.5,99.25
77.02,81.69,64.93,80.45,77.66,74.48,81.49,71.73,64.43,63.61,73,52.44,85.5,100.5,90,91.5,95.12,96.5,71.5,96.12,73,88.12,53.12,90
80.52,83.56,77.27,70.03,68.43,78.27,79.01,79.95,59.61,66.36,72,59.48,81,111,102,91.5,76.12,72.5,78.62,73.75,74.62,70.62,106.25,69.25
73.46,83.56,76.81,70.61,85.17,78.27,80.03,75.39,66.39,59.86,61.08,61.48,63,111,97.5,87,72,105,85.88,92.75,72,77.88,83.5,72.5
78.44,79.84,72.13,78.37,80.52,67.84,73.33,75.51,66.39,59.86,50.59,61.07,96,88.5,105,84,72,64.12,74,94.38,72,60.38,60.75,75.88
75.75,67.49,79.83,79.01,77.09,70.92,78.15,78.13,67.94,65.81,69.57,61.07,72,79.5,87,120,92.62,59.5,95.88,94.38,50.62,76.12,58.5,75.88
72.48,83.56,73,75.84,79.09,78.27,80.85,75.87,72.43,64.66,67.64,68.55,63,111,88.5,108,95.5,71.38,72.75,66.5,73.38,54.12,72,56
81.53,70.36,76.81,84.94,66.15,75.05,80.03,71.78,65.14,49.96,57.89,52.44,91.5,114,97.5,78,77.5,79.25,82.25,96.12,70.88,58.75,57.5,90
72.48,80.66,86,70.61,71.81,72.64,85.5,75.39,64.43,64.66,60.57,64.28,84,88.5,88.5,87,95.12,71.38,87.88,66.38,73,54.12,67.88,56.75
66.86,85.41,81.61,70.03,76.05,86.21,73.55,79.95,59.61,63.61,67.67,65.89,78,84,103.5,91.5,63.38,96.5,71.88,81.88,67,88.12,56.88,69.38
77.02,79.84,73,79.04,77.66,67.84,80.85,73.38,63.31,60.11,67.64,69.1,85.5,88.5,88.5,78,94.62,84.88,72.75,111.5,80.25,71.88,72,86.5
68.92,79.84,73.12,81.65,83.26,67.84,69.7,73.85,60.84,60.11,54.35,57,87,88.5,99,79.5,69.5,84.88,73.88,84.38,46.62,71.88,66.12,59.88
76.5,75.96,81.06,70.56,76.41,86.77,74.21,81.11,60.72,54.55,61.08,50.29,81,82.5,105,87,89.25,89,85.88,131.75,65.38,51.12,83.5,55.12
80.73,80.66,77.89,71.88,75.81,72.64,76.32,75.38,60.11,70.99,61.08,68.13,87,88.5,100.5,100.5,96.62,97.75,85.88,72,55,78.62,83.5,57.75
75.17,72.88,73.33,78.37,76.06,71.27,78.7,75.51,60.11,68.42,59.52,73.22,90,88.5,90,84,96.62,74.5,91.75,78.88,55,62.38,48.75,50.38
80.36,70.36,82.74,77.53,75.56,75.05,74.81,69.7,70.86,60.06,69.75,50.29,82.5,114,108,96,68.88,98.12,65.62,131.75,55.75,85.25,60.5,55.12
75.75,67.49,81.42,80.45,77.09,70.92,85.51,71.73,54.92,51.87,74.99,64.28,72,79.5,103.5,91.5,77.25,65.25,90.25,66.38,83.5,84.5,55.25,56.75
75.17,83.8,82.62,76.38,76.06,80.89,75.22,81.69,60.72,64.66,52.59,66.01,90,108,100.5,75,89.25,71.38,80.5,111.75,65.38,54.12,72,67.12
80.36,84.63,74.81,70.03,75.56,72.26,83.9,79.95,67.94,64.66,56.27,56.34,82.5,73.5,108,91.5,92.62,71.38,72,72.38,50.62,54.12,83.12,73.12
78.44,85.41,83.14,84.97,80.52,86.21,77.79,78.09,60.84,64.66,69.57,59.48,96,84,114,100.5,69.5,71.38,95.88,73.75,46.62,54.12,58.5,69.25
81.04,71.48,78.6,84.97,73.83,83.42,68.01,78.09,59.89,70.67,62.84,54.89,114,91.5,73.5,100.5,82.88,75.25,90.12,80.38,60.12,63.5,56.62,47.62
